,class,imagepath
2NE1 박봄13.jpg,1,./face_aligned_images/woman\2NE1 박봄13.jpg
2NE1 박봄18.jpg,1,./face_aligned_images/woman\2NE1 박봄18.jpg
2NE1 박봄2.jpg,1,./face_aligned_images/woman\2NE1 박봄2.jpg
2NE1 박봄21.jpg,1,./face_aligned_images/woman\2NE1 박봄21.jpg
2NE1 박봄25.jpg,2,./face_aligned_images/woman\2NE1 박봄25.jpg
2NE1 박봄27.jpg,1,./face_aligned_images/woman\2NE1 박봄27.jpg
2NE1 박봄28.jpg,2,./face_aligned_images/woman\2NE1 박봄28.jpg
2NE1 박봄31.jpg,2,./face_aligned_images/woman\2NE1 박봄31.jpg
2NE1 박봄33.jpg,1,./face_aligned_images/woman\2NE1 박봄33.jpg
2NE1 박봄35.jpg,2,./face_aligned_images/woman\2NE1 박봄35.jpg
2NE1 박봄36.jpg,2,./face_aligned_images/woman\2NE1 박봄36.jpg
2NE1 박봄37.jpg,2,./face_aligned_images/woman\2NE1 박봄37.jpg
2NE1 박봄4.jpg,0,./face_aligned_images/woman\2NE1 박봄4.jpg
2NE1 박봄40.jpg,0,./face_aligned_images/woman\2NE1 박봄40.jpg
2NE1 박봄7.jpg,0,./face_aligned_images/woman\2NE1 박봄7.jpg
2NE1 씨엘16.jpg,0,./face_aligned_images/woman\2NE1 씨엘16.jpg
2NE1 씨엘2.jpg,1,./face_aligned_images/woman\2NE1 씨엘2.jpg
2NE1 씨엘20.jpg,1,./face_aligned_images/woman\2NE1 씨엘20.jpg
2NE1 씨엘23.jpg,5,./face_aligned_images/woman\2NE1 씨엘23.jpg
2NE1 씨엘35.jpg,0,./face_aligned_images/woman\2NE1 씨엘35.jpg
2NE1 씨엘42.jpg,0,./face_aligned_images/woman\2NE1 씨엘42.jpg
2NE1 씨엘46.jpg,1,./face_aligned_images/woman\2NE1 씨엘46.jpg
2NE1 씨엘8.jpg,3,./face_aligned_images/woman\2NE1 씨엘8.jpg
7공주 오인영19.jpg,2,./face_aligned_images/woman\7공주 오인영19.jpg
7공주 오인영33.jpg,1,./face_aligned_images/woman\7공주 오인영33.jpg
7공주 오인영46.jpg,5,./face_aligned_images/woman\7공주 오인영46.jpg
AOA 민아11.jpg,3,./face_aligned_images/woman\AOA 민아11.jpg
AOA 민아12.jpg,2,./face_aligned_images/woman\AOA 민아12.jpg
AOA 민아18.jpg,5,./face_aligned_images/woman\AOA 민아18.jpg
AOA 민아19.jpg,2,./face_aligned_images/woman\AOA 민아19.jpg
AOA 민아2.jpg,5,./face_aligned_images/woman\AOA 민아2.jpg
AOA 민아20.jpg,5,./face_aligned_images/woman\AOA 민아20.jpg
AOA 민아34.jpg,2,./face_aligned_images/woman\AOA 민아34.jpg
AOA 민아37.jpg,2,./face_aligned_images/woman\AOA 민아37.jpg
AOA 민아40.jpg,5,./face_aligned_images/woman\AOA 민아40.jpg
AOA 민아43.jpg,5,./face_aligned_images/woman\AOA 민아43.jpg
